epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6433,1.44611,3.65079,1.47896,0.02026,0.81159,0.10319,0.0658,1.67516,3.90381,2.05726,8.33e-06,8.33e-06,8.33e-06
2,20.7253,1.38672,3.7225,1.49256,0.017,0.74493,0.12691,0.08603,1.6995,3.90282,2.05589,2.47426e-05,2.47426e-05,2.47426e-05
3,29.3634,1.26052,3.63801,1.46279,0.01606,0.74493,0.18122,0.11218,1.68966,3.93457,2.0603,4.08253e-05,4.08253e-05,4.08253e-05
4,37.8369,1.15199,3.51646,1.41249,0.01406,0.67826,0.189,0.11159,1.67246,3.93881,2.0374,5.65782e-05,5.65782e-05,5.65782e-05
5,46.2578,1.31747,3.537,1.48359,0.01644,0.77391,0.16828,0.08887,1.59052,3.96497,1.99235,7.20012e-05,7.20012e-05,7.20012e-05
6,54.6987,1.17737,3.54419,1.43358,0.01423,0.69275,0.18569,0.09716,1.57795,3.96619,2.01496,8.70943e-05,8.70943e-05,8.70943e-05
7,63.232,1.19473,3.46909,1.41308,0.01543,0.75942,0.17705,0.09962,1.60026,3.96398,2.04964,0.000101858,0.000101858,0.000101858
8,72.2692,1.13879,3.28975,1.34016,0.01359,0.69275,0.29154,0.15927,1.58741,3.96215,2.03489,0.000116291,0.000116291,0.000116291
9,81.0329,1.17159,3.09786,1.39353,0.01344,0.69275,0.30096,0.16323,1.60483,3.97795,2.04469,0.000130394,0.000130394,0.000130394
10,89.4718,1.11794,2.95626,1.29921,0.01388,0.77391,0.30523,0.16093,1.66031,3.96843,2.07522,0.000144168,0.000144168,0.000144168
11,97.9109,1.18349,3.07093,1.36734,0.01314,0.77391,0.28582,0.15101,1.70136,3.97029,2.10482,0.000157612,0.000157612,0.000157612
12,106.243,1.1785,2.89043,1.38638,0.01182,0.70725,0.17256,0.08735,1.77033,3.9662,2.14571,0.000170726,0.000170726,0.000170726
13,114.654,1.18922,2.79938,1.35991,0.011,0.70725,0.17135,0.06936,1.81586,3.96792,2.17714,0.00018351,0.00018351,0.00018351
14,123.09,1.202,2.78579,1.36299,0.01171,0.78841,0.18627,0.08399,1.85047,3.99565,2.21026,0.000195964,0.000195964,0.000195964
15,131.415,1.20143,2.64217,1.39749,0.01043,0.72174,0.19627,0.09851,1.87518,3.99725,2.20543,0.000208088,0.000208088,0.000208088
16,139.883,1.14286,2.41938,1.363,0.01058,0.77391,0.20821,0.12686,1.88298,3.99904,2.24675,0.000219883,0.000219883,0.000219883
17,148.272,1.06176,2.23924,1.29999,0.00973,0.70725,0.21208,0.13018,1.8485,4.02365,2.26026,0.000231347,0.000231347,0.000231347
18,157.105,1.12496,2.58753,1.41102,0.00771,0.52609,0.22755,0.13527,1.84968,4.05746,2.26037,0.000242482,0.000242482,0.000242482
19,166.501,1.18754,2.3194,1.35549,0.01027,0.75942,0.22208,0.10845,1.8489,4.06446,2.28725,0.000253287,0.000253287,0.000253287
20,175.489,1.11329,2.40085,1.38481,0.01051,0.75942,0.1895,0.08614,1.82245,4.06122,2.24863,0.000263762,0.000263762,0.000263762
21,185.593,1.10128,2.26109,1.39837,0.0094,0.67826,0.18545,0.08691,1.79264,4.09163,2.24926,0.000273907,0.000273907,0.000273907
22,194.796,1.07523,2.18507,1.30178,0.01057,0.74493,0.19169,0.08785,1.78478,4.06681,2.2304,0.000283722,0.000283722,0.000283722
23,203.848,1.14126,2.10435,1.45657,0.01072,0.74493,0.19154,0.08354,1.74243,4.02987,2.21199,0.000293208,0.000293208,0.000293208
24,212.542,0.96336,2.01745,1.25849,0.01085,0.74493,0.1535,0.06961,1.74485,4.00609,2.20185,0.000302363,0.000302363,0.000302363
25,220.964,1.14203,2.07571,1.34752,0.0109,0.74493,0.14348,0.06248,1.72935,4.0126,2.15477,0.000311189,0.000311189,0.000311189
26,229.555,1.17727,1.94317,1.33917,0.01068,0.74493,0.13459,0.06011,1.74147,3.94763,2.14699,0.000319685,0.000319685,0.000319685
27,237.948,1.04359,1.9289,1.3101,0.01043,0.73043,0.12846,0.06892,1.69208,3.92118,2.09993,0.00032785,0.00032785,0.00032785
28,246.279,1.10619,1.74134,1.34122,0.01043,0.73043,0.12846,0.06892,1.69208,3.92118,2.09993,0.000335687,0.000335687,0.000335687
29,254.873,0.90821,1.5267,1.21376,0.40903,0.3,0.13785,0.07256,1.67201,3.9007,2.06918,0.000343193,0.000343193,0.000343193
30,263.621,1.04126,1.6897,1.31991,0.49961,0.13333,0.13347,0.06643,1.68471,3.90857,2.05697,0.000350369,0.000350369,0.000350369
31,272.057,1.07113,1.66622,1.25984,0.49961,0.13333,0.13347,0.06643,1.68471,3.90857,2.05697,0.000357215,0.000357215,0.000357215
32,280.44,1.00431,1.73505,1.33051,0.81106,0.10661,0.12928,0.06434,1.69362,3.90628,2.0876,0.000363732,0.000363732,0.000363732
33,288.962,1.06378,1.57474,1.23752,0.42626,0.06667,0.15632,0.07086,1.69965,3.93426,2.14266,0.000369919,0.000369919,0.000369919
34,297.338,1.05939,1.641,1.29102,0.42626,0.06667,0.15632,0.07086,1.69965,3.93426,2.14266,0.000375775,0.000375775,0.000375775
35,305.717,1.02408,1.62034,1.3127,0.46484,0.09114,0.1196,0.06195,1.70357,3.9635,2.20185,0.000381302,0.000381302,0.000381302
36,314.127,1.01587,1.4307,1.27216,0.45311,0.06667,0.15484,0.05254,1.72021,3.95498,2.24005,0.0003865,0.0003865,0.0003865
37,322.563,1.00793,1.42061,1.293,0.45311,0.06667,0.15484,0.05254,1.72021,3.95498,2.24005,0.000391367,0.000391367,0.000391367
38,330.91,0.93426,1.42423,1.25745,0.47064,0.0981,0.13447,0.05058,1.69743,3.94353,2.23898,0.000395904,0.000395904,0.000395904
39,339.515,1.03154,1.48195,1.24417,0.49373,0.06667,0.12948,0.04083,1.69037,3.9516,2.24467,0.000400112,0.000400112,0.000400112
40,348.016,1.03633,1.32828,1.32135,0.49373,0.06667,0.12948,0.04083,1.69037,3.9516,2.24467,0.000403989,0.000403989,0.000403989
41,356.373,1.03941,1.49022,1.28967,0.44248,0.37535,0.09771,0.03523,1.67859,3.9768,2.20121,0.000407537,0.000407537,0.000407537
42,364.801,1.02581,1.29919,1.24865,0.43979,0.23411,0.1047,0.04643,1.65401,3.9407,2.17619,0.000410755,0.000410755,0.000410755
43,373.111,0.9594,1.35532,1.3158,0.43979,0.23411,0.1047,0.04643,1.65401,3.9407,2.17619,0.000413643,0.000413643,0.000413643
44,381.521,1.15109,1.49286,1.38024,0.4591,0.36405,0.11344,0.06718,1.62579,3.91314,2.15527,0.000416201,0.000416201,0.000416201
45,389.855,0.89401,1.33429,1.1796,0.4591,0.36405,0.11344,0.06718,1.62579,3.91314,2.15527,0.000418429,0.000418429,0.000418429
46,398.223,1.00345,1.30588,1.22797,0.50418,0.22617,0.14238,0.0808,1.61292,3.89124,2.14403,0.000420328,0.000420328,0.000420328
47,406.527,0.93062,1.22051,1.17365,0.50418,0.22617,0.14238,0.0808,1.61292,3.89124,2.14403,0.000421896,0.000421896,0.000421896
48,414.837,0.95844,1.28418,1.23455,0.47043,0.21983,0.14681,0.09583,1.61099,3.88121,2.1925,0.000423135,0.000423135,0.000423135
49,423.315,0.88737,1.19082,1.15915,0.47043,0.21983,0.14681,0.09583,1.61099,3.88121,2.1925,0.000424044,0.000424044,0.000424044
50,431.713,0.87053,1.16772,1.16782,0.12292,0.211,0.15546,0.08415,1.76526,4.00342,2.27153,0.000424623,0.000424623,0.000424623
51,440.219,1.0574,1.3128,1.29636,0.12292,0.211,0.15546,0.08415,1.76526,4.00342,2.27153,0.000420665,0.000420665,0.000420665
52,449.072,0.84424,1.17634,1.16016,0.26891,0.318,0.19617,0.09633,1.83514,4.13255,2.3213,0.000412418,0.000412418,0.000412418
53,458.034,0.86589,1.13521,1.15929,0.26891,0.318,0.19617,0.09633,1.83514,4.13255,2.3213,0.000404172,0.000404172,0.000404172
54,466.576,0.82433,1.08272,1.11783,0.18631,0.18116,0.17235,0.0925,1.851,4.04974,2.34119,0.000395925,0.000395925,0.000395925
55,475.727,0.94698,1.17197,1.17308,0.18631,0.18116,0.17235,0.0925,1.851,4.04974,2.34119,0.000387678,0.000387678,0.000387678
56,484.297,0.88292,1.15711,1.19562,0.27675,0.26327,0.24107,0.10979,1.77509,3.94721,2.26451,0.000379431,0.000379431,0.000379431
57,492.713,0.86898,1.06338,1.13866,0.27675,0.26327,0.24107,0.10979,1.77509,3.94721,2.26451,0.000371185,0.000371185,0.000371185
58,501.13,0.92339,1.27809,1.31275,0.22257,0.19565,0.24671,0.08589,1.73919,3.89132,2.23042,0.000362938,0.000362938,0.000362938
59,509.387,0.87442,1.15168,1.21765,0.22257,0.19565,0.24671,0.08589,1.73919,3.89132,2.23042,0.000354691,0.000354691,0.000354691
60,517.759,0.84489,1.06416,1.14818,0.12095,0.05575,0.1558,0.09579,1.72555,3.89517,2.22775,0.000346445,0.000346445,0.000346445
61,526.243,0.80551,1.06428,1.13244,0.12095,0.05575,0.1558,0.09579,1.72555,3.89517,2.22775,0.000338198,0.000338198,0.000338198
62,534.601,0.7687,1.00675,1.09697,0.14716,0.02899,0.15018,0.08655,1.73382,3.92266,2.27598,0.000329951,0.000329951,0.000329951
63,543.015,0.81249,1.07708,1.11498,0.14716,0.02899,0.15018,0.08655,1.73382,3.92266,2.27598,0.000321705,0.000321705,0.000321705
64,551.361,0.90174,1.16681,1.22015,0.1309,0.02899,0.13939,0.07545,1.78119,3.87794,2.33375,0.000313458,0.000313458,0.000313458
65,559.735,0.78546,1.01442,1.11516,0.1309,0.02899,0.13939,0.07545,1.78119,3.87794,2.33375,0.000305211,0.000305211,0.000305211
66,568.175,0.87647,1.13983,1.18485,0.10891,0.22532,0.10434,0.05488,1.81923,3.80029,2.36845,0.000296964,0.000296964,0.000296964
67,576.954,0.83138,1.14145,1.15381,0.10891,0.22532,0.10434,0.05488,1.81923,3.80029,2.36845,0.000288718,0.000288718,0.000288718
68,585.332,0.82208,1.12999,1.15152,0.12436,0.21764,0.10404,0.04357,1.84104,3.68899,2.37306,0.000280471,0.000280471,0.000280471
69,593.676,0.79972,1.08633,1.12975,0.12436,0.21764,0.10404,0.04357,1.84104,3.68899,2.37306,0.000272224,0.000272224,0.000272224
70,602.193,0.7693,1.02422,1.09728,0.10371,0.22013,0.11698,0.05713,1.80687,3.5985,2.361,0.000263978,0.000263978,0.000263978
71,610.538,0.81323,0.98535,1.18121,0.10371,0.22013,0.11698,0.05713,1.80687,3.5985,2.361,0.000255731,0.000255731,0.000255731
72,619.018,0.84011,0.97105,1.13686,0.12196,0.27804,0.12381,0.06061,1.81012,3.50822,2.3266,0.000247484,0.000247484,0.000247484
73,628.185,0.76156,0.98946,1.11749,0.12196,0.27804,0.12381,0.06061,1.81012,3.50822,2.3266,0.000239238,0.000239238,0.000239238
74,636.592,0.85048,1.06365,1.19001,0.12437,0.28261,0.12445,0.06205,1.79155,3.44207,2.30008,0.000230991,0.000230991,0.000230991
75,645.019,0.78026,1.15759,1.16783,0.12437,0.28261,0.12445,0.06205,1.79155,3.44207,2.30008,0.000222744,0.000222744,0.000222744
76,653.48,0.8569,1.0081,1.14155,0.12922,0.28261,0.15572,0.07816,1.82501,3.34167,2.24609,0.000214497,0.000214497,0.000214497
77,661.804,0.7859,0.98234,1.15433,0.12922,0.28261,0.15572,0.07816,1.82501,3.34167,2.24609,0.000206251,0.000206251,0.000206251
78,670.157,0.74569,0.96858,1.11579,0.19591,0.22306,0.16911,0.0858,1.79462,3.2675,2.22147,0.000198004,0.000198004,0.000198004
79,678.537,0.75465,0.94086,1.0735,0.19591,0.22306,0.16911,0.0858,1.79462,3.2675,2.22147,0.000189757,0.000189757,0.000189757
80,686.901,0.77203,0.96105,1.06059,0.2115,0.23913,0.18663,0.0964,1.80984,3.12285,2.22629,0.000181511,0.000181511,0.000181511
81,695.357,0.72512,0.95037,1.08982,0.2115,0.23913,0.18663,0.0964,1.80984,3.12285,2.22629,0.000173264,0.000173264,0.000173264
82,703.774,0.77402,0.93747,1.1012,0.19689,0.26812,0.23459,0.12359,1.8193,3.04215,2.24412,0.000165017,0.000165017,0.000165017
83,712.208,0.75196,0.94928,1.10712,0.19689,0.26812,0.23459,0.12359,1.8193,3.04215,2.24412,0.000156771,0.000156771,0.000156771
84,720.647,0.76657,0.97748,1.08472,0.18199,0.31159,0.25108,0.13042,1.83849,3.02526,2.27126,0.000148524,0.000148524,0.000148524
85,729.127,0.65057,0.89303,1.04195,0.18199,0.31159,0.25108,0.13042,1.83849,3.02526,2.27126,0.000140277,0.000140277,0.000140277
86,737.991,0.71297,0.93291,1.04069,0.22677,0.40886,0.2724,0.13861,1.86003,3.02118,2.30107,0.000132031,0.000132031,0.000132031
87,746.482,0.64934,0.87395,1.05314,0.22677,0.40886,0.2724,0.13861,1.86003,3.02118,2.30107,0.000123784,0.000123784,0.000123784
88,755.356,0.71534,0.9075,1.02322,0.20066,0.2971,0.24282,0.13535,1.86752,3.03087,2.30755,0.000115537,0.000115537,0.000115537
89,763.884,0.67987,0.87887,1.06005,0.20066,0.2971,0.24282,0.13535,1.86752,3.03087,2.30755,0.00010729,0.00010729,0.00010729
90,772.307,0.70986,0.85901,1.0529,0.29315,0.45486,0.27041,0.16048,1.88717,3.06641,2.3305,9.90437e-05,9.90437e-05,9.90437e-05
91,780.556,0.64605,1.00634,1.05546,0.29315,0.45486,0.27041,0.16048,1.88717,3.06641,2.3305,9.0797e-05,9.0797e-05,9.0797e-05
92,788.794,0.68273,0.94871,1.06789,0.25815,0.43478,0.27971,0.15148,1.89663,3.11584,2.34799,8.25503e-05,8.25503e-05,8.25503e-05
93,797.007,0.67334,0.99743,1.04998,0.25815,0.43478,0.27971,0.15148,1.89663,3.11584,2.34799,7.43036e-05,7.43036e-05,7.43036e-05
94,805.245,0.56512,0.89143,0.9857,0.23567,0.44928,0.28101,0.13963,1.87327,3.16398,2.34252,6.60569e-05,6.60569e-05,6.60569e-05
95,813.41,0.5756,0.85342,0.98198,0.23567,0.44928,0.28101,0.13963,1.87327,3.16398,2.34252,5.78102e-05,5.78102e-05,5.78102e-05
96,821.636,0.63249,0.94954,1.06492,0.22037,0.42029,0.33293,0.15464,1.88578,3.17604,2.34541,4.95635e-05,4.95635e-05,4.95635e-05
97,829.8,0.62605,0.91848,1.02688,0.22037,0.42029,0.33293,0.15464,1.88578,3.17604,2.34541,4.13168e-05,4.13168e-05,4.13168e-05
98,838.048,0.62654,0.91244,1.07134,0.21283,0.42132,0.27325,0.14641,1.89668,3.21064,2.33778,3.30701e-05,3.30701e-05,3.30701e-05
99,846.259,0.61326,0.87032,1.00808,0.21283,0.42132,0.27325,0.14641,1.89668,3.21064,2.33778,2.48234e-05,2.48234e-05,2.48234e-05
100,854.454,0.57634,0.86141,1.0271,0.2335,0.4058,0.27098,0.14246,1.90233,3.23174,2.34012,1.65767e-05,1.65767e-05,1.65767e-05
